customer_id,First Name,Last Name,Gender,Email,Marital Status,postalZip,region,country
108775015,Dale,Russell,Male,d.russell@randatmail.com,Single,78-597,Sonora,Colombia
108775044,Heather,Wells,Female,h.wells@randatmail.com,Single,42644,Troms og Finnmark,Peru
108775051,Richard,Ross,Male,r.ross@randatmail.com,Married,274889,Gavleborgs lan,Brazil
110065001,Agata,Spencer,Female,a.spencer@randatmail.com,Married,84280,Liguria,Belgium
110065002,Sophia,Nelson,Female,s.nelson@randatmail.com,Married,56667,Styria,United Kingdom
110065011,Dale,Craig,Male,d.craig@randatmail.com,Married,6328 JF,Friesland,Italy
111565001,Chelsea,Roberts,Female,c.roberts@randatmail.com,Single,64525,Hanai,Norway
111565003,Paul,Hunt,Male,p.hunt@randatmail.com,Single,664239,Trondelag,Brazil
111586001,Anna,Cunningham,Female,a.cunningham@randatmail.com,Single,4361 CW,Gavleborgs lan,Italy
111593001,Marcus,Richardson,Male,m.richardson@randatmail.com,Single,61714,Aberdeenshire,Ireland
111609001,James,Nelson,Male,j.nelson@randatmail.com,Married,8703,Huáběi,Norway
112679048,Joyce,Perry,Female,j.perry@randatmail.com,Married,816512,Nova Scotia,South Korea
112679052,Oscar,Ryan,Male,o.ryan@randatmail.com,Single,17113,Vladimir Oblast,Indonesia
114428026,Harold,Bennett,Male,h.bennett@randatmail.com,Single,556035,Glamorgan,New Zealand
114428030,Vivian,Riley,Female,v.riley@randatmail.com,Single,63892,Veracruz,Vietnam
116379047,Alisa,Martin,Female,a.martin@randatmail.com,Single,901472,La Libertad,Belgium
118458003,Carina,Evans,Female,c.evans@randatmail.com,Single,82681,Nordrhein-Westphalen,India
118458004,Frederick,Spencer,Male,f.spencer@randatmail.com,Married,755129,Arequipa,Indonesia
118458028,Connie,Myers,Female,c.myers@randatmail.com,Single,565888,Flevoland,United Kingdom
118458029,Abraham,Craig,Male,a.craig@randatmail.com,Single,7761-4448,Brandenburg,Russian Federation
118458034,Alexander,Tucker,Male,a.tucker@randatmail.com,Married,127862,Vinh Long,China
118458038,Adam,Wilson,Male,a.wilson@randatmail.com,Married,446744,Queensland,Austria
118458039,Alexia,Brown,Female,a.brown@randatmail.com,Married,176768,New South Wales,Netherlands
120129001,Roland,Cole,Male,r.cole@randatmail.com,Single,27353,Belgorod Oblast,Indonesia
120129014,Jared,Gibson,Male,j.gibson@randatmail.com,Married,8189,Munster,Sweden
120129018,Julia,Harper,Female,j.harper@randatmail.com,Married,938183,Pará,China
120129025,Paul,Martin,Male,p.martin@randatmail.com,Married,1601,Brussels Hoofdstedelijk Gewest,Sweden
123173001,Victoria,Stewart,Female,v.stewart@randatmail.com,Single,748319,Đà Nẵng,Poland
126589006,Vanessa,Carter,Female,v.carter@randatmail.com,Married,114352,Tarapacá,Turkey
126589007,Daniel,Lloyd,Male,d.lloyd@randatmail.com,Married,67774,Special Capital Region of Jakarta,United Kingdom
126589010,Edward,Davis,Male,e.davis@randatmail.com,Single,37111,Niger,Philippines
126589011,Jack,Carter,Male,j.carter@randatmail.com,Single,637939,Tula Oblast,Pakistan
126589012,Brooke,Johnston,Female,b.johnston@randatmail.com,Single,4246,North-East Region,Costa Rica
129085001,Arthur,Brooks,Male,a.brooks@randatmail.com,Married,2148,Nova Scotia,Russian Federation
129085026,Brianna,Carroll,Female,b.carroll@randatmail.com,Single,86347,Trøndelag,Peru
129085027,Byron,Cooper,Male,b.cooper@randatmail.com,Married,Y7P 6T4,Waals-Brabant,Singapore
130035001,Marcus,Howard,Male,m.howard@randatmail.com,Single,275643,Carinthia,Austria
141661022,Adam,Fowler,Male,a.fowler@randatmail.com,Married,516791,Bicol Region,France
141661025,April,Adams,Female,a.adams@randatmail.com,Married,1562,Caithness,South Korea
144993001,Cadie,Scott,Female,c.scott@randatmail.com,Single,42-23,Møre og Romsdal,France
145872001,Tara,Richardson,Female,t.richardson@randatmail.com,Married,11615,Lazio,Singapore
145872037,Eric,Payne,Male,e.payne@randatmail.com,Single,72330,Chocó,Sweden
145872043,Carina,Perry,Female,c.perry@randatmail.com,Married,968144,Şanlıurfa,Netherlands
145872051,Adelaide,Carter,Female,a.carter@randatmail.com,Married,52154,Australian Capital Territory,Vietnam
145872052,Emma,Hamilton,Female,e.hamilton@randatmail.com,Single,7718,Manitoba,Ireland
145872053,Daniel,Carroll,Male,d.carroll@randatmail.com,Married,F29 1UR,Magallanes y Antártica Chilena,Poland
146706001,Grace,Spencer,Female,g.spencer@randatmail.com,Married,7766,Saarland,Nigeria
146706004,Alisa,Craig,Female,a.craig@randatmail.com,Married,65-88,Ancash,Poland
146706005,Oscar,Campbell,Male,o.campbell@randatmail.com,Single,199225,Ceará,Vietnam
146721001,Aiden,Evans,Male,a.evans@randatmail.com,Married,128242,Kaluga Oblast,Sweden
146721002,Roland,Carter,Male,r.carter@randatmail.com,Married,3671,Tyrol,Philippines
146730001,Lyndon,Myers,Male,l.myers@randatmail.com,Single,63252,North Chungcheong,New Zealand
147339034,Alfred,Mitchell,Male,a.mitchell@randatmail.com,Married,62574,Sokoto,Sweden
148033001,Cadie,Craig,Female,c.craig@randatmail.com,Married,796462,Zhōngnán,Germany
